headline,summarry,status,price
Terrains de 600 mètres carrés à vendre à Saly Sénégal,2 terrains jumelés de 600…,"
						À vendre					","
						 32.000.000Fr par parcelle                    "
Terrain de 300 mètres carrés à vendre à Saly Sénégal,Terrain de 300 mètres carrés…,"
						À vendre					","
						 17.000.000Fr                     "
Terrain de 225 mètres carrés à vendre à Saly Sénégal,Terrain 225 mètres carrés à…,"
						À vendre					","
						 11.000.000Fr                     "
Terrain de 300 mètres carrés à vendre à Saly Sénégal,Terrain de 300 mètres carrés…,"
						À vendre					","
						 27.000.000Fr                     "
Terrain de 300 mètres carrés à vendre à Saly Sénégal,Terrain de 300 mètres carrés…,"
						À vendre					","
						 17.500.000Fr                     "
Terrain de 500 mètres carrés à vendre à Saly Sénégal,Terrain de 500 mètres carrés…,"
						À vendre					","
						 35.000.000Fr                     "
Maison à vendre à Saly Sénégal,Maison à vendre à Saly…,"
						À vendre					","
						 25.000.000Fr                     "
Terrain de 500 mètres carrés à vendre à Nguérigne Sénégal,Terrain de 500 mètres carrés…,"
						À vendre					","
						 19.000.000Fr                     "
Terrains de 225 mètres carrés à vendre à Sindia Sénégal,"Lotissement Téne Toubab City, Sindia…","
						À vendre					","
						 1.800.000Fr par parcelle                    "
Terrains de 2000 mètres carrés à vendre à Warang Sénégal,Terrain de 2000 mètres carrés…,"
						À vendre					","
						 60.000.000Fr                     "
Terrains de 300 mètres carrés à vendre à Guéréo Sénégal,Lot de 300 mètres carrés…,"
						À vendre					","
						 6.000.000Fr par parcelle                    "
Terrains de 300 mètres carrés à vendre à Guéréo Sénégal,Lot de 300 mètres carrés…,"
						À vendre					","
						 4.000.000Fr par parcelle                    "
Terrain de 500 mètres carrés à vendre à Saly Sénégal,Terrain de 500 mètres carrés…,"
						À vendre					","
						 35.000.000Fr                     "
Terrain de 3 hectares et demi à vendre à Mbourokh Sénégal,Terrain de 3 hectares et…,"
						À vendre					","
						 11.000.000Fr par parcelle                    "
Terrains de 500 mètres carrés à vendre à Saly Sénégal,Terrain de 500 mètres carrés…,"
						À vendre					","
						 50.000.000Fr                     "
Terrains de 225 mètres carrés à vendre à Sindia Sénégal,"Lotissement Téne Toubab City, Sindia…","
						À vendre					","
						 1.800.000Fr par parcelle                    "
Terrain de 1 hectare à vendre à Mbourokh Sénégal,Terrain de 1 hectare à…,"
						À vendre					","
						 12.000.000Fr                     "
Terrain de 520 mètres carrés à vendre à Saly Sénégal,Terrain de 520 mètres carrés…,"
						À vendre					","
						 27.000.000Fr                     "
Terrain de 1 hectare à vendre à Mbourokh Sénégal,Terrain de 1 hectare à…,"
						À vendre					","
						 28.000.000Fr                     "
Terrain de 1 hectare  à vendre à Mbourokh Sénégal,Terrain de 1 hectare à…,"
						À vendre					","
						 10.000.000Fr                     "
Terrain de 2 hectares et demi à vendre à Louly Sénégal,Terrain de 2 hectares et…,"
						À vendre					","
						 10.000.000Fr par hectare                    "
Terrain de 1 hectare à vendre à Louly Sénégal,Terrain de 1 hectare à…,"
						À vendre					","
						 7.000.000Fr                     "
Terrain de 400 mètres carrés à vendre à Saly Sénégal,Terrain de  400 mètres carrés…,"
						À vendre					","
						 35.000.000Fr                     "
Terrain de 600 mètres carrés à vendre à Saly Sénégal,Terrain de 600 mètres carrés…,"
						À vendre					","
						 40.000.000Fr                     "
